"region","order_year","order_count","total_net_revenue","avg_order_value"
"Europe","2022","380","100827.26","265.33"
"North America","2022","254","80204.08","315.76"
"Southeast Asia","2022","44","12721.48","289.12"
"Latin America","2022","54","12138.04","224.78"
"Middle East","2022","33","5889.8","178.48"
"Europe","2023","1101","315070.82","286.17"
"North America","2023","848","235736.97","277.99"
"Southeast Asia","2023","335","106973.34","319.32"
"Latin America","2023","268","70178.83","261.86"
"Middle East","2023","223","53547.54","240.12"
"North America","2024","2632","718726.68","273.07"
"Southeast Asia","2024","2029","613904.12","302.56"
"Europe","2024","1911","545631.86","285.52"
"Latin America","2024","1207","321390.58","266.27"
"Middle East","2024","955","281074.63","294.32"
