"customer_id","region","acquisition_chan","order_count","total_spend"
"12348","Europe","Influencer","43","30360.93"
"11131","Europe","Influencer","41","22546.65"
"12723","North America","Referral","43","19561.76"
"10995","Europe","Influencer","32","19496.63"
"11387","Southeast Asia","Influencer","35","18730.1"
"11835","Southeast Asia","Referral","31","18114.42"
"11046","Europe","Organic","37","17960.45"
"10837","North America","Influencer","27","17822.03"
"12965","Europe","Email","32","16732.93"
"12478","North America","Referral","32","16412.5"
